VIN,BRAND,MODEL,COLOR,ENGINE,TRANSMISSION,MPG,DEALER_ID,DATE_SOLD_TO_DEALER,MANUFACTURER
5S7G5L0O5V6F0T4D7,Chevrolet,Silverado 1500,Pink,5,Ameliorated,22,217,2017-04-09,Ondricka LLC
6F3E8O9M7X5H3W6R1,Land Rover,Range Rover,Pink,15,Proactive,28,218,2017-10-11,Heaney-Bartoletti
8R4G8G1C2C7C2M6N0,Mazda,Protege,Khaki,7,Horizontal,22,219,2017-07-17,Hagenes-West
2I0E4N2B5I1X7R3U6,Mercedes-Benz,E-Class,Indigo,2,Diverse,26,220,2017-08-27,Jenkins Group
2L9G1H1L4H7X6H6I8,Mercedes-Benz,M-Class,Aquamarine,2,hybrid,24,221,2018-01-07,Champlin-Rohan
2F1Z7B1M7P2D1P6J0,Mazda,MX-5,Blue,10,Mandatory,50,222,2017-03-30,Kessler Group
2J1T2E4F1A9Q4V6M7,Mitsubishi,Mirage,Fuscia,5,Integrated,13,223,2018-03-02,"Balistreri, Dickinson and Veum"
0V5Z3D6X4D8G3C8K4,Mercedes-Benz,CL65 AMG,Khaki,12,hub,39,224,2017-04-01,"Mann, Ziemann and Kertzmann"
0W6Z6Z9I8N9M6I6D6,BMW,325,Violet,1,protocol,12,225,2017-06-15,Hoeger Inc
6N4F6N9L0F7K2M1I3,Saab,9-2X,Indigo,13,encryption,39,226,2017-07-05,"Parisian, Bins and Dach"
6C2I1S4W3F3A4U5N9,Audi,4000s,Aquamarine,6,encryption,14,227,2017-10-13,"Tromp, Langworth and Schiller"
2K9N3P8M9C6I1W5G7,Hyundai,Santa Fe,Pink,14,coherent,10,228,2017-06-13,Schmidt Group
7S6N9L2K7A1F1Y2U4,Mazda,626,Indigo,11,extranet,31,229,2017-08-02,"Kunze, Mertz and O'Kon"
5V6D0E1I1Z9E8D1X6,Honda,Accord,Violet,4,modular,35,230,2017-04-12,Buckridge LLC
9A4V3Z3U5M4F4E1U2,Acura,RL,Mauv,14,Open-architected,20,231,2017-11-04,Pfeffer LLC
7J4N4U3O6O9U1Q1G4,Pontiac,Gemini,Orange,10,needs-based,14,232,2017-06-28,Kunde-Reichel
0F8F7T6C0Y9Z4L1S8,Toyota,RAV4,Turquoise,1,24 hour,44,233,2017-12-19,"Grady, Swaniawski and Hermann"
2D4M7M0R4Z0T4H6W1,Pontiac,GTO,Pink,2,Universal,38,234,2017-05-15,Kub-Grant
1U9C6F4R3A5E4W5S5,Kia,Sorento,Turquoise,8,functionalities,19,235,2017-06-28,Ward-Klocko
9T3U5M4W1R5X5G0D4,Ford,Escort,Aquamarine,16,multi-tasking,16,236,2017-12-04,Johns Inc
0U6J7S0M3V0R9C4B4,Dodge,Viper,Khaki,9,background,28,237,2017-06-11,"Jenkins, Davis and Tremblay"
3L6B6F6E0E7H1T4P8,Volkswagen,Passat,Khaki,5,help-desk,21,238,2018-02-06,Runolfsdottir Inc
0E0J8T6D0J8X4K0S8,Hyundai,Elantra,Green,15,Integrated,13,239,2017-12-05,"Rogahn, Schroeder and Hettinger"
8H7H3F8O9R5G1W8E6,GMC,Yukon,Indigo,11,Centralized,14,240,2018-03-11,"Rolfson, Bartell and Pouros"
7I6E8Z0N6O7T4M3S8,Suzuki,Daewoo Magnus,Blue,16,optimizing,47,241,2017-04-19,"Runte, Cormier and Jenkins"
4W6X2H0R3N4P3B5B5,Volkswagen,GTI,Teal,7,multi-state,28,242,2017-03-26,Hirthe-Gerlach
3H4A2J0N3D8H4B3P4,Pontiac,Grand Prix,Blue,12,strategy,17,243,2017-05-29,Feeney-Gerhold
7E5K8N7Q9E5I8Y3O4,Chevrolet,Sportvan G30,Green,10,Optimized,41,244,2017-09-14,Berge-Keebler
1E3X6N2G4B8L1S8C2,Mazda,MX-5,Maroon,1,Phased,37,245,2017-06-04,Homenick Inc
7U0Q6O6X1V6S5G7R1,Toyota,MR2,Puce,7,logistical,13,246,2018-02-08,"MacGyver, Reichert and Windler"
7Q5J5P5R9G7S9B2O3,Kia,Sedona,Green,2,discrete,16,247,2017-12-23,"Cole, Friesen and Kerluke"
4D1J5V1W4F2W9S3Z6,Nissan,Frontier,Crimson,4,Self-enabling,30,248,2018-02-08,Rosenbaum and Sons
2K8Y0F4Z3P2W5M1H2,Kia,Optima,Turquoise,10,capacity,18,249,2017-04-01,Mueller-Braun
7U8G3D7F6K0Z1R8Z5,Cadillac,DTS,Indigo,8,encryption,33,250,2017-03-30,Johnson-Wiegand
9Q6Q4G0H7N0K2S0B9,Toyota,Avalon,Red,13,maximized,49,251,2018-02-21,Turcotte LLC
3W9K6Q1Z3L1M6N8G0,Chrysler,LeBaron,Maroon,1,utilisation,12,252,2017-07-18,"Weimann, Monahan and Wiegand"
0G9U1P5H7F4S6R6O2,Maserati,Biturbo,Fuscia,16,zero administration,29,253,2017-04-07,Leannon-Doyle
3M8X8T4Y5T2T8F7X3,Hyundai,Tucson,Purple,10,Monitored,17,254,2017-08-02,Bauch Group
5Y5L7P6O3P6X9E2R7,Pontiac,Grand Prix,Yellow,4,non-volatile,24,255,2018-03-09,"Klein, Hauck and Armstrong"
3C4G0Q2B7J2B6C9S0,Maserati,228,Teal,4,didactic,50,256,2017-11-04,Stroman Group
1H0Z7V6A9H8H0S7X5,Acura,TSX,Goldenrod,13,leverage,24,257,2017-11-11,Gulgowski Inc
2I8D4U9H2I5M7I9Y8,Pontiac,GTO,Red,5,service-desk,28,258,2017-10-06,"Denesik, Abernathy and Champlin"
5J6Q3K4J4K3I4V5Y9,Ford,Bronco II,Crimson,9,multi-tasking,34,259,2017-12-25,Flatley-Kuhic
6S4T7J0T8T5N6H1D4,Mercury,Capri,Goldenrod,14,installation,43,260,2017-08-21,Herzog-Sanford
8V0O2U9J4A9R7C0W1,Pontiac,Grand Prix,Turquoise,10,Profit-focused,45,261,2018-02-28,Gislason Inc
3T8Z7B3K1E1Q5Q2Y3,Pontiac,Grand Prix,Khaki,9,Customizable,30,262,2017-04-04,Daugherty LLC
7Y3O5B3D9C7Z2Q0X5,Pontiac,Sunbird,Green,15,zero tolerance,20,263,2017-10-05,Koss LLC
9L8H0Q6U8W2V8T8P2,Saturn,Relay,Green,9,tertiary,10,264,2017-03-26,Hilll-Feeney
4G5E4D2A7P9L1E4W7,Mercedes-Benz,W123,Yellow,1,Persistent,43,265,2017-06-29,O'Kon LLC
3U7Q7V2Y1F4T4T7H6,Audi,A4,Mauv,3,secured line,28,266,2017-10-20,"Zieme, Erdman and Huels"
4G0G1C4H8H9C4L4X0,Mercedes-Benz,500E,Turquoise,12,orchestration,36,267,2017-08-03,Aufderhar and Sons
2W5W5Z3J7J4H7L6F8,Mercedes-Benz,300CE,Pink,15,utilisation,11,268,2017-04-02,McDermott Inc
9E1T5F8N5B6B3Y7S5,Audi,90,Aquamarine,2,Stand-alone,26,269,2017-03-28,"Borer, Donnelly and Bednar"
0I4B1T9N0B9A7X4R5,Ford,E250,Blue,15,productivity,48,270,2017-05-20,Sipes-Leffler
0Y6V2A9I1W6R7K4E2,Mazda,Mazda6,Teal,3,incremental,14,271,2017-04-04,Murazik-Crooks
6J8S0P4X5Y6M1H9O5,Volkswagen,Golf,Red,11,utilisation,24,272,2018-03-16,Jacobson Group
0K2T1D6O3T0X4N2U1,Chevrolet,Cavalier,Green,16,hub,29,273,2017-10-15,"Daugherty, Champlin and Wuckert"
8P2X7T3Q2N0E7L4B5,Suzuki,Forenza,Indigo,10,alliance,20,274,2018-03-08,Sawayn Group
1F4L3L4Q5D5J6J9N1,Dodge,Caravan,Blue,1,homogeneous,47,275,2018-02-10,"Parisian, Hartmann and Lind"
6U4G3B8P5P9H3V2E1,Toyota,Avalon,Crimson,9,Synchronised,50,276,2017-08-09,"Moore, Okuneva and Herman"
5O4J4A4K1E0E1T6F8,Cadillac,Seville,Blue,5,optimizing,17,277,2017-10-18,Cormier-Lehner
1A3F0R9A8P6M4F9N0,Ford,Flex,Purple,2,user-facing,17,278,2017-08-15,"Witting, Barrows and McKenzie"
9U0Q0G4I7Z6V5O6M3,Saturn,Ion,Aquamarine,15,Total,47,279,2017-04-26,Bashirian-Wilderman
5M1M5B4W1E1D6E1J1,Mitsubishi,Chariot,Yellow,6,help-desk,11,280,2017-10-21,"O'Kon, Ritchie and Collier"
0E3L1L9W8G8V9J1S4,Honda,Element,Fuscia,9,24 hour,17,281,2018-01-22,"Harvey, Gislason and Parisian"
9D2G6A3M9Z9O0V5T1,Chevrolet,Equinox,Goldenrod,1,middleware,14,282,2017-11-08,"Carter, Littel and Turner"
4O6N9U9C6V2I5I9F3,Volkswagen,Jetta,Indigo,1,Balanced,19,283,2018-01-02,Zboncak-O'Keefe
5T4P8Z3Z7V1J7D1U5,Mazda,Miata MX-5,Red,11,artificial intelligence,28,284,2018-03-18,Kessler-Heathcote
5V6M5E2A1I1B6P7Z0,Lexus,GX,Indigo,1,budgetary management,39,285,2017-06-22,"Gerlach, Thompson and Koch"
3V0X0J2Y8K7N5I2J9,Chevrolet,Malibu,Teal,2,hierarchy,41,286,2017-09-09,Kiehn-Padberg
7E7N7O9F2P1I9F3N1,Lexus,SC,Puce,12,3rd generation,12,287,2017-12-11,Muller Group
8N1L8L7E8Y9C1P3Q3,Mercury,Capri,Maroon,15,value-added,10,288,2017-05-13,Aufderhar LLC
7T2D1D3G1B3L3Z0O4,Ford,Taurus,Blue,7,object-oriented,17,289,2017-12-30,Jaskolski Group
4R1T3Q7L8K6L1E9Y5,BMW,M3,Teal,15,Right-sized,13,290,2017-09-13,Cruickshank LLC
0Y0O8L3G5H5N2V1M6,Dodge,Avenger,Fuscia,8,global,32,291,2017-05-30,"Welch, Marks and Muller"
0H6P7L0U6J6A1S3V6,Hyundai,Tucson,Red,11,analyzer,41,292,2017-12-29,Runolfsdottir LLC
7N4P2P1K1L1S2R1M8,Isuzu,Stylus,Green,7,demand-driven,24,293,2017-10-24,Bechtelar-McDermott
1M2N2S0U4Z0B5I7S8,Nissan,Frontier,Purple,7,Quality-focused,46,294,2018-01-26,Boyle Inc
4M2T6K4Z4R8G5K1O1,Lamborghini,Gallardo,Indigo,8,Persistent,48,295,2018-03-06,"Romaguera, Harvey and Gorczany"
2K3P5H2F3T9F9O7A0,Chevrolet,Silverado 1500,Fuscia,7,neural-net,37,296,2017-03-26,O'Connell LLC
2H9V7D7A2S3Z5T8T3,Hyundai,Accent,Mauv,11,Customizable,43,297,2018-01-23,Labadie-Flatley
2O4Z5T6T1H9D1R6O9,Ford,E-Series,Yellow,15,Re-engineered,46,298,2017-11-12,Moore and Sons
5C0I7I0V2D6E7Z0O8,Dodge,Dakota Club,Fuscia,7,Operative,39,299,2017-11-05,Oberbrunner Inc
7S2T8H2T4F6O5A1E0,Cadillac,STS,Mauv,5,demand-driven,32,300,2017-06-02,"Gaylord, Cronin and Ebert"
1E9H3F6B8B5K7D2Y3,Chrysler,Concorde,Crimson,4,definition,27,301,2017-07-19,"Dickinson, Jacobs and Dare"
1W2S0F7L0U6J8L0O2,Jeep,Cherokee,Teal,3,stable,16,302,2017-04-03,Wolf LLC
2W2U9W7C6U1R4G3P9,Pontiac,Firebird,Yellow,9,maximized,27,303,2017-09-04,Ankunding-Nader
0Y3I7L6M9Q2D6J4C3,Dodge,Ram 2500 Club,Aquamarine,6,Pre-emptive,17,304,2018-02-20,Lehner-Frami
6S1M5P1N4A5E0Y3A1,GMC,Yukon XL 2500,Crimson,2,Adaptive,40,305,2017-09-05,Dietrich-Ortiz
4C9Q9L2H8B8H9G3T1,Land Rover,LR2,Orange,15,model,27,306,2017-04-16,Nikolaus Inc
9N6G6Y9Z0B7I5K6G8,Lotus,Esprit,Green,6,Object-based,18,307,2017-07-06,Shanahan-Dietrich
4Y6O6H0U7E3P0H9Z7,Mercury,Marquis,Red,10,installation,22,308,2017-07-09,Emard LLC
6J4O7Y7I2K5K4I8B1,GMC,Yukon,Indigo,7,maximized,26,309,2018-01-10,Schowalter LLC
6N6J9R8D1H4A7O3R7,GMC,Safari,Pink,11,encoding,40,310,2017-04-20,Haley-Bergnaum
2B4B3G9V1Q1F5V2A6,Ford,Expedition,Pink,13,adapter,14,311,2017-08-31,Bosco and Sons
7O8G5B7T5C2N6I9H8,Porsche,911,Green,4,didactic,39,312,2017-06-15,Renner Inc
7M1D4J4U7G7J6T3U3,Dodge,Ram 1500 Club,Yellow,4,Open-source,48,313,2017-04-01,"Smitham, Kozey and McCullough"
6K1Z3Z7U9X9C7E7K5,Ferrari,F430,Crimson,12,intangible,49,314,2017-10-12,Ebert-Kiehn
7E8Q8S7C7Z2U9V8F8,Dodge,Intrepid,Purple,11,Graphical User Interface,13,315,2017-09-26,Franecki-Koss
8V4Y9K7X9E0K0Z6L5,Mitsubishi,Lancer Evolution,Crimson,3,Implemented,46,316,2017-11-09,Bogisich Inc
6K8W1V8B8T4E3B6W8,Audi,A6,Pink,3,paradigm,14,317,2017-09-18,O'Kon LLC
3H8S1V3E0B7Y8V4L5,Pontiac,Grand Prix,Green,11,interface,32,318,2018-02-18,Mitchell-Rohan
4Y2I3H7S9Z4H1T4J5,Ford,Club Wagon,Goldenrod,3,optimal,49,319,2017-04-17,Kohler-Connelly
1Y2L4K4F3X5P5S2Q1,Chevrolet,3500,Red,10,Triple-buffered,32,320,2017-05-01,Mohr-Cassin
3I0T5K5E2W3C7Q1Q5,Chevrolet,3500,Puce,15,coherent,45,321,2017-06-13,Toy LLC
4U0N8T4O2Z9Q1J8K0,BMW,8 Series,Goldenrod,12,demand-driven,28,322,2018-03-01,Hudson-Lueilwitz
1F4M9W7R9D5B8X7M2,Porsche,Boxster,Crimson,12,demand-driven,27,323,2017-06-03,Reynolds-Willms
9S2M2O4R6W0L7L5A2,Saab,9-3,Yellow,3,Multi-tiered,13,324,2018-01-30,"Greenholt, Bradtke and Haley"
1V5W7U6A9B9Y4T1X4,Chevrolet,Silverado 2500,Yellow,10,reciprocal,32,325,2017-06-30,"Jenkins, Hagenes and Beatty"
1J7K3O3H2D3S8T3H0,Lexus,SC,Fuscia,3,human-resource,44,326,2017-06-23,O'Reilly Group
4Y1S9X6Q4Q7M7F5F9,Toyota,Tacoma,Purple,3,Total,16,327,2017-05-29,"McGlynn, Konopelski and Legros"
7D7M5B9U1Q2V4G7T4,Pontiac,Firebird,Pink,12,groupware,48,328,2017-07-24,Berge-Renner
1T2K2D6B1A7E2W2A5,Ford,Th!nk,Teal,12,upward-trending,47,329,2017-06-25,Kreiger-Mosciski
8U7T8N6O5P1D9M6L1,Oldsmobile,88,Maroon,11,firmware,48,330,2017-09-28,Weimann and Sons
8N1H7V6U9K3L4I3S0,Volkswagen,Cabriolet,Green,4,Up-sized,28,331,2017-10-11,Pacocha-Kunde
8M6A8L8O0L8C2X8E0,Lotus,Exige,Teal,5,info-mediaries,35,332,2017-09-23,Turner-Hartmann
9M6U7R4R3D0I8P8B3,Dodge,Caravan,Aquamarine,7,Reduced,42,333,2017-07-24,Ruecker LLC
5U9Z1D1B4M4Y2B8U3,Toyota,MR2,Pink,16,methodology,41,334,2018-01-19,"Sanford, Yundt and King"
5J5P8Q4G1B6T4D4B9,Mazda,CX-7,Indigo,6,Robust,24,335,2017-10-23,"Collier, Wilkinson and Wiza"
5O3A0F9L8D7Z9A1B2,Volkswagen,Golf,Teal,12,dynamic,29,336,2017-04-21,Schmitt Inc
9H9J0U9X6E7N0B8Q3,Volkswagen,Cabriolet,Fuscia,5,Integrated,22,337,2017-10-07,Lang-Stehr
1Q5X9H7Q9O3M6L1F4,Porsche,Boxster,Red,5,Organic,45,338,2017-05-10,"Wilkinson, Leannon and Lindgren"
7U3O6M9G7A3M7O3A3,Saturn,Relay,Pink,13,Cross-group,27,339,2017-10-18,"Feeney, Smitham and Goldner"
0F5K0D2U6X6S7D8V8,Jeep,Wrangler,Indigo,7,uniform,37,340,2018-01-14,Hagenes-Stark
2J8C5W5R4P8W5D1E9,Mazda,Mazda3,Turquoise,4,fault-tolerant,41,341,2018-03-23,Will Group
1T6E7S2W9E1K1G7S3,Suzuki,Grand Vitara,Goldenrod,8,focus group,23,342,2017-09-16,Sawayn Group
0W6M6C4Y2B2D6E5A6,Dodge,Ram 2500,Turquoise,13,bandwidth-monitored,18,343,2017-05-16,Armstrong and Sons
1R5P7T5T4W6Z6Z6I9,Mitsubishi,Diamante,Teal,16,Function-based,31,344,2018-01-31,Hegmann-Corkery
7A2O4A9V2D2Y2Y6Q9,Mitsubishi,Pajero,Yellow,3,contextually-based,40,345,2017-10-13,Senger Inc
6K6K7E0Y7F3S5G2I4,Volkswagen,Cabriolet,Fuscia,4,flexibility,38,346,2017-06-26,"Heathcote, Cole and Kemmer"
1Z1I4Y8D7N4C3J6B7,Ford,F150,Purple,2,Triple-buffered,49,347,2017-08-03,Wuckert Group
0O0C1C9E9L7Z9L8A2,Hyundai,Santa Fe,Yellow,13,grid-enabled,25,348,2018-01-11,Considine Group
6E3P1Q7J8M6N8H4Z6,Volkswagen,GTI,Mauv,14,dedicated,47,349,2017-08-09,"Brekke, Hammes and Rowe"
5Z6Q6L6V7F6U5M9F7,Ford,Laser,Violet,12,Profound,28,350,2017-06-10,Thompson-Schumm
4L8T8U2S7K6Q1B5W5,Dodge,Ram 2500,Turquoise,5,software,32,351,2017-08-02,"Prohaska, Von and Towne"
3D7Y0O4E6I2W3D3Y4,Ford,Mustang,Aquamarine,9,Cross-platform,44,352,2017-12-19,Lind-Rempel
4P4J9I4A0U6H0L6T0,Volvo,XC90,Teal,11,mission-critical,39,353,2017-04-15,Dietrich-Paucek
7U2Z3B0K3X3G6G6A8,Mercedes-Benz,CL-Class,Teal,12,neutral,30,354,2017-11-27,Smitham and Sons
8K2P7T1T1M1Y7R1T0,Mazda,B-Series Plus,Aquamarine,4,encryption,49,355,2017-07-22,"Becker, Wilderman and Blick"
9P5J3Q2E3D4S2C4M6,Lexus,GX,Yellow,8,parallelism,35,356,2018-02-11,"Berge, Turcotte and Mayer"
3R6N8N0Y9V7B5E5E6,Oldsmobile,LSS,Turquoise,10,disintermediate,24,357,2017-08-03,"Fisher, Torphy and Larkin"
5I0J2Z5Z1K4I7Q8I9,BMW,X5,Crimson,16,circuit,12,358,2017-07-05,Green-Funk
9O4X0H2X8C8B0G4U9,Buick,Rainier,Yellow,4,stable,26,359,2017-08-28,Ernser-Graham
7C8V6F2K4A8A3M8N7,Buick,Regal,Red,5,didactic,42,360,2017-04-20,"Bergstrom, Robel and O'Conner"
4X1L6T7B7Y0V9J0B4,Honda,S2000,Goldenrod,1,frame,37,361,2017-10-04,"Fritsch, Schulist and Gusikowski"
1F8G4B5P5S3T3A3F7,Jeep,Compass,Crimson,6,focus group,31,362,2017-09-02,"Goodwin, Keeling and Hahn"
4A0F6B8O8Q3M0H5R5,Mercedes-Benz,SLK-Class,Purple,7,Optional,18,363,2017-10-31,Feest Inc
3Y3H8T9K7S7B4U7G2,Hummer,H2 SUV,Maroon,16,Distributed,26,364,2017-09-06,Harris Inc
8R3Z9B8H0B7W5R8F6,Ford,Explorer Sport Trac,Aquamarine,1,moratorium,47,365,2017-11-11,Ritchie-Schowalter
7F3D3Y6U9B7Z5P1Q0,BMW,Alpina B7,Violet,5,array,49,366,2018-02-20,Lebsack Group
5A8L1C1B2Z6J8N5I7,Lexus,ES,Blue,6,analyzing,47,367,2017-03-30,Ferry-Hyatt
6T4H4Q2A1U8P9A3R2,Dodge,Caravan,Violet,10,Digitized,33,368,2018-02-27,Boehm-Koepp
8G3J7C6E6T8X7H2W4,Pontiac,Grand Am,Turquoise,5,Total,21,369,2017-05-01,"Satterfield, Bins and Haag"
1I6M6K3N5R8S4T6R4,Jaguar,XJ Series,Teal,1,artificial intelligence,15,370,2017-10-04,"Rath, Heidenreich and Metz"
5J4Y0T6R4E7Y9K7G7,Oldsmobile,Cutlass,Turquoise,14,Multi-layered,10,371,2017-04-16,Kshlerin Inc
9E0E7G2C5Y5Q8S1M4,Isuzu,Amigo,Khaki,14,fresh-thinking,43,372,2017-10-15,"Swift, Crona and Cruickshank"
3O8M5Q9M1T2F9Y1X2,Mercury,Mountaineer,Khaki,4,Switchable,26,373,2017-06-22,Funk-Satterfield
6R3I0C5X2H3V6B0P3,Pontiac,Sunfire,Teal,12,challenge,45,374,2018-03-18,Prohaska-Wuckert
4W5I8V4H1C7V1J9X4,GMC,Yukon,Turquoise,16,monitoring,30,375,2018-02-28,Moen-Carroll
5V5C3U8K2H7T2Y8J8,Dodge,Neon,Yellow,11,Secured,27,376,2018-02-04,Lindgren LLC
8K2S8Y0H2B1I2Z1D0,Lexus,ES,Maroon,10,User-friendly,42,377,2017-04-08,"Weissnat, Breitenberg and Bayer"
9P3N5X2O8B9G4J8Q0,Chevrolet,Suburban 2500,Indigo,13,Synergized,42,378,2017-10-12,Macejkovic and Sons
6O7E9T4N2I0A3H1U9,Chrysler,300,Mauv,13,Organized,46,379,2018-02-04,Steuber-Kozey
3M3O9T4I2P4V1L4I2,BMW,X5,Teal,13,Progressive,30,380,2017-05-20,Cruickshank-Walsh
1K6I9W2S9S9V8G7V0,Mercedes-Benz,C-Class,Indigo,14,migration,31,381,2017-06-07,Aufderhar-Medhurst
0K6A0S0V3V7F5H8D5,Dodge,Ram Van B150,Violet,7,Optional,39,382,2017-05-18,"Gerlach, Jaskolski and Auer"
5H4G9R0E3W3E1Q7K3,Land Rover,Range Rover Sport,Red,6,Quality-focused,35,383,2017-11-03,Zemlak Inc
0O8V3M1Y5I4S4F2L6,Chevrolet,TrailBlazer,Green,8,zero tolerance,27,384,2017-08-04,Gottlieb-Kerluke
5U8I1A5K3G4E4G8S4,Ford,F250,Purple,13,3rd generation,39,385,2017-07-05,Jerde Group
2C1U0G9J0X7N4K9F0,Chevrolet,Tahoe,Blue,12,throughput,18,386,2017-09-28,"Beahan, Bahringer and Rippin"
2G7O7F2V9Z7V2C5K1,Chevrolet,G-Series 3500,Red,8,Fundamental,21,387,2018-01-14,Koepp-Schmeler
7J4G4O3F7V8I5O3V8,Chevrolet,2500,Crimson,2,multi-tasking,33,388,2017-08-22,Balistreri-Mosciski
9Q8N4L6G1C0J6P1C6,Pontiac,Sunbird,Purple,2,throughput,49,389,2017-07-11,Schmidt-Jast
8R1S0Y4K0W4Y1S2T7,Pontiac,Bonneville,Goldenrod,5,flexibility,40,390,2017-12-31,Quigley-Watsica
3C4B4M8X1W2X4I6J3,GMC,2500,Red,5,24 hour,48,391,2017-04-27,"Bauch, Trantow and Renner"
8F0L5Q2R6D4R4G2Z5,Ford,E350,Purple,11,directional,43,392,2018-01-15,Ledner Group
4R0T9D7N1F1W9Z3A8,Chevrolet,Cavalier,Maroon,8,Expanded,45,393,2018-03-09,Corkery-Nicolas
7S2X1P5L2I3Y5I2J7,Toyota,RAV4,Mauv,1,migration,43,394,2017-11-15,Nicolas-Kuphal
2T3O6C4L6R2W6Z6M2,Pontiac,Bonneville,Crimson,7,scalable,46,395,2018-02-04,"Schinner, Kshlerin and Hilpert"
5O2Q9I6A3P2N8H6V9,Jeep,Grand Cherokee,Red,4,firmware,48,396,2018-03-18,Prohaska Inc
5Z0W8E4J8C5C5J4L0,Dodge,Ram Wagon B150,Puce,7,cohesive,31,397,2018-03-01,Reinger-Schroeder
6H6O0F9D6O3V8X9U8,BMW,M5,Indigo,15,zero defect,14,398,2017-05-04,"Kulas, Mann and Cassin"
0F1W1Y3I8T4X0B2P0,Mitsubishi,Truck,Blue,4,circuit,33,399,2017-11-28,Satterfield Group
3F4U1D9P5N9C4C1N2,Mazda,Protege,Green,10,dynamic,23,400,2017-12-12,Haley Group
8E9Y6W1K0U0H9K4K3,Jaguar,XJ,Fuscia,9,firmware,30,401,2017-10-20,Watsica LLC
8Y7U7B4S8Z9T5Q0W9,Mercedes-Benz,SLR McLaren,Mauv,4,Grass-roots,17,402,2017-09-18,"Mosciski, Hettinger and Bogisich"
3C2U4Z6X7H3G1R4M4,Honda,Civic,Indigo,2,Focused,38,403,2017-09-17,Jaskolski Group
8R0L9T4T6S5Q4S0G6,Toyota,Celica,Fuscia,4,time-frame,25,404,2017-07-11,"Hahn, Hintz and Towne"
0N2A0J3B6O5T1X3E0,Chevrolet,Cobalt,Puce,9,User-centric,36,405,2017-03-28,Kiehn Group
8H8O9X9B2W3O2X2H0,Kia,Sorento,Violet,10,zero defect,11,406,2018-01-07,"Boyer, Nader and Wintheiser"
7P5H7B2I0T0V4R4L2,Suzuki,Reno,Green,14,clear-thinking,31,407,2017-06-13,Hills Inc
1T7U8G0H1U1Y9E8V5,Saturn,VUE,Violet,7,zero tolerance,28,408,2017-07-26,Bailey-Ruecker
9Y8K2C6T8Q8B0K8W8,Mitsubishi,Eclipse,Red,2,coherent,45,409,2017-06-04,Paucek-Grimes
0E9V5D7G3L1N5H6V5,Mazda,Miata MX-5,Fuscia,10,Public-key,34,410,2017-04-22,Schmitt LLC
7P9T2E4K1N0Y6E1G9,Lamborghini,Gallardo,Orange,7,contextually-based,12,411,2017-07-02,Hodkiewicz LLC
1B5D6K1B4F6C1I6Q1,Mazda,Tribute,Yellow,13,database,36,412,2018-03-13,Durgan Group
9E3G2V2N3X0G3D9U4,Chevrolet,Camaro,Pink,9,logistical,24,413,2017-10-16,"Daniel, Collins and Harber"
2B8Y6Y6N8G7V9Q6E6,Aston Martin,V8 Vantage,Violet,13,ability,26,414,2018-03-04,"Strosin, Jerde and Anderson"
6K6O6T2L5W3C5O1N5,Chevrolet,Astro,Crimson,3,Reverse-engineered,50,415,2017-09-15,"Kessler, Koelpin and Hammes"
7H0H7A7P7W3L1U8N5,Dodge,Ram Van 3500,Purple,13,architecture,48,416,2017-05-12,"Reynolds, Weber and Schultz"
8S7W0G8G9S5U2K9Q4,Acura,Vigor,Goldenrod,12,Graphic Interface,10,417,2018-02-25,Weber-Cronin
7H1W2A3R0B9T5H8T7,Audi,4000s,Red,6,solution-oriented,39,418,2017-03-29,"Hudson, Bashirian and Daniel"
3I7D3T7W1M4R7F1A5,Pontiac,Firefly,Khaki,8,asymmetric,50,419,2017-05-03,"Lueilwitz, Mertz and Pfeffer"
2I7V7D6U1L8L5J5O0,Chevrolet,Express 1500,Goldenrod,15,executive,38,420,2017-11-16,Upton Inc
4T6C2N0L1G8I2E4M3,Mercury,Cougar,Puce,10,object-oriented,48,421,2017-08-10,"Effertz, Baumbach and Hettinger"
8L2D6W2B6Y8M3V2S2,Suzuki,SJ,Purple,4,database,11,422,2017-08-20,"Monahan, Hauck and Effertz"
7N9Z7G8B0S5I8A6N1,Buick,Century,Purple,13,fault-tolerant,45,423,2017-06-16,Rau LLC
9H7Y8F4R2U5J5J8T2,Toyota,4Runner,Orange,7,productivity,14,424,2017-08-05,Connelly Group
1A4G9C0E0U4N6E7M9,Saturn,VUE,Fuscia,3,open system,16,425,2017-06-24,O'Hara Group
6Y4X4L2J3J4M5O3M0,BMW,530,Red,1,content-based,17,426,2018-01-13,Hamill Inc
5R7F4R7G6N1T0H9A8,Dodge,Nitro,Puce,7,utilisation,48,427,2017-09-17,Spinka-Tromp
7L4L8E2P6T6D8Y8C3,Oldsmobile,Aurora,Maroon,5,tangible,27,428,2017-06-08,O'Keefe and Sons
4E5J3T4P9S1R3J4D0,Ford,Freestar,Indigo,7,superstructure,29,429,2017-06-02,"Barton, Flatley and Bins"
2R9O0R4K0D4S1F5L6,Land Rover,LR3,Yellow,7,Open-source,37,430,2017-09-16,Mann and Sons
8Y3V2O5Z7J7V9E6A8,Mercury,Tracer,Purple,6,internet solution,44,431,2017-12-07,Stroman Inc
4V5Z2M9T5G3K4Q9S0,Dodge,Dakota,Aquamarine,16,model,35,432,2017-10-02,"Green, Labadie and Hirthe"
